*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,Tribal - Engineering (5281),Bank,Tax Exempt (0%),,No,No,No,
,CIB CPS,Bank,Tax Exempt (0%),,No,No,No,
,Kuwait Bank,Bank,Tax Exempt (0%),,No,No,No,
,Tribal - Marketing (8477),Bank,Tax Exempt (0%),,No,No,No,
,Tribal - Technology (9401),Bank,Tax Exempt (0%),,No,No,No,
,Audi Money Market Fund,Bank,Tax Exempt (0%),,No,No,No,
,Nasr City Safe,Bank,Tax Exempt (0%),,No,No,No,
0477,Wages and Salaries - OPS,Expense,Tax on Purchases (0%),Wages and Salaries - OPS,Yes,Yes,Yes,
0479,Employee Allowances - OPS,Expense,Tax on Purchases (0%),Employee Allowances - OPS,Yes,Yes,Yes,
0480,Deduction - OPS,Expense,Tax on Purchases (0%),Deduction - OPS,Yes,Yes,Yes,
0482,Social Insurance Expense - OPS,Expense,Tax on Purchases (0%),Social Insurance Expense - OPS,Yes,Yes,Yes,
100,Emergency Expenses,Expense,Tax on Purchases (0%),For Emergency Expenses,Yes,Yes,Yes,
1000,Travel - National (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),Travel - National (Unsupported with Tax Invoice),No,No,Yes,
1002,Travel - International (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1003,Office Expenses - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1004,Emergency Expenses - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1005,Entertainment - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1006,Small assets written off in one year - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1007,Recruitment Expense - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1008,Transportation Expenses - (Unsupported with Tax Invoice),Direct Costs,Tax on Purchases (0%),,No,No,Yes,
1009,Telephone & Internet,Expense,Tax on Purchases (0%),,No,No,Yes,
1010,Supply Expenses,Expense,Tax on Purchases (0%),payment for supply expenses department,No,No,No,
1600,Advertising - Paid,Expense,Tax on Purchases (0%),,No,No,No,
1601,Advertising - Brand Awareness,Expense,Tax on Purchases (0%),,No,No,No,
1602,Advertising - Other,Expense,Tax on Purchases (0%),,No,No,No,
1603,Advertising - Discount Vouchers,Expense,Tax on Purchases (0%),,No,No,No,
200,Sales,Revenue,VAT on Sales  (14%),Income from any normal business activity,Yes,Yes,Yes,
201,Revenue - B2C - Cleaning (NC + Non-NC),Revenue,Tax on Sales (0%),,Yes,Yes,Yes,
202,Revenue - B2B2C,Revenue,Tax on Sales (0%),,Yes,Yes,Yes,
203,Revenue - B2B,Revenue,Tax on Sales (0%),,Yes,Yes,Yes,
204,Revenue - B2C - Maintenance (NC + Non-NC),Revenue,Tax on Sales (0%),,No,No,No,
205,Revenue - B2C - Beauty,Revenue,Tax on Sales (0%),,No,No,No,
206,Revenue - Materials,Revenue,Tax on Sales (0%),,No,No,No,
207,Revenue - B2C - Other Services,Revenue,Tax on Sales (0%),,No,No,No,
208,Revenue - WHT Deduction,Revenue,Tax on Sales (0%),,No,No,Yes,
260,Other Revenues,Revenue,Tax on Sales (0%),Any other income that does not relate to normal business activities and is not recurring,Yes,Yes,Yes,
270,Interest Income,Revenue,Tax Exempt (0%),Interest income,Yes,Yes,Yes,
308,Cost Of Sales,Expense,Tax on Purchases (0%),,No,No,No,
309,Consumables Expense,Direct Costs,Tax on Purchases (0%),Consumables Expense,Yes,Yes,Yes,
310,Cost of Goods Sold,Direct Costs,Tax on Purchases (0%),Cost of Goods Sold,Yes,Yes,Yes,
311,Salaries & Wages,Expense,Tax on Purchases (0%),Salaries & Wages,Yes,Yes,Yes,
312,Part Time Wages & Salaries (OPS),Direct Costs,Tax on Purchases (0%),Part Time Wages & Salaries (OPS),Yes,Yes,Yes,
320,Professional Fee Expenses,Expense,Professional fees tax rate   (10%),Professional Fee Expenses,Yes,Yes,Yes,
400,Advertising Expenses,Expense,Tax on Purchases (0%),Advertising Expenses,Yes,Yes,Yes,
401,Marketing Expenses,Expense,Tax on Purchases (0%),Marketing Expenses,Yes,Yes,Yes,
402,Promo Code,Expense,Tax on Purchases (0%),,Yes,No,No,
403,Recruitment Expenses,Expense,Tax on Purchases (0%),Recruitment Expenses,Yes,Yes,Yes,
404,Bank Fees,Expense,Tax Exempt (0%),Fees charged by your bank for transactions regarding your bank account(s).,No,Yes,No,
405,Bad Debt Expenses,Expense,Tax on Purchases (0%),,No,No,No,
406,Market Place Incentive Expenses,Direct Costs,Tax on Purchases (0%),Market Place Incentive Expenses,Yes,Yes,Yes,
407,Customers Compensation & Refund Expenses,Direct Costs,Tax on Purchases (0%),Customers Compensation & Refund Expenses,Yes,Yes,Yes,
408,Cleaning,Expense,Tax on Purchases (0%),Expenses incurred for cleaning  business property.,No,Yes,No,
409,Technician's Uniform Expense,Direct Costs,Tax on Purchases (0%),Technician's Uniform Expense,Yes,Yes,Yes,
410,Selling Expenses,Expense,Tax on Purchases (0%),,No,No,No,
411,Stock Impairment Expense,Expense,Tax on Purchases (0%),,No,No,No,
412,Consulting & Accounting,Expense,Tax on Purchases (0%),Expenses related to paying consultants,No,Yes,No,
413,Software& Subscription Expense,Expense,Tax on Purchases (0%),,No,No,No,
414,Call Center Expense,Expense,Tax on Purchases (0%),Call Center Expense,Yes,Yes,Yes,
415,Impairment in Leasehold,Expense,Tax on Purchases (0%),Record decries in leasehold,No,No,No,
416,Depreciation,Expense,Tax Exempt (0%),The amount of the asset's cost (based on the useful life) that was consumed during the period,Yes,No,No,
417,Amortization,Expense,Tax on Purchases (0%),,Yes,No,No,
418,Earn More Program Incentives,Expense,Tax on Purchases (0%),This Account is regards all incentive pay for cleaners and technicians as per Earn More Program Incentives,Yes,No,No,
419,Audit Fees,Expense,Tax on Purchases (0%),,No,No,No,
420,Entertainment,Expense,Tax Exempt (0%),Expenses paid by company for the business but are not deductable for income tax purposes.,No,Yes,No,
421,Consulting & Accounting  (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,No,
422,Electricity & Water Expenses (Utilities) (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,No,
423,Hosting Costs,Expense,Tax on Purchases (0%),,No,No,No,
424,Deel Fees,Expense,Tax on Purchases (0%),,Yes,Yes,No,
425,Freight & Courier Expense,Expense,Tax on Purchases (0%),Freight & Courier Expense,Yes,Yes,Yes,
426,Prior Period Expenses,Expense,Tax on Purchases (0%),,No,No,No,
430,General Expenses (Receipt),Expense,Tax on Purchases (0%),Non-Taxable Invoices,No,No,No,
431,Tips & Gratuities Expenses,Expense,Tax on Purchases (0%),,Yes,No,No,
432,Medical Insurance Expenses,Expense,Tax on Purchases (0%),,Yes,No,No,
433,Insurance,Expense,Tax on Purchases (0%),Expenses incurred for insuring the business' assets,No,Yes,No,
437,Interest Expense,Expense,Tax Exempt (0%),"Any interest expenses paid to your tax authority, business bank accounts or credit card accounts.",No,Yes,No,
441,Legal expenses,Expense,Tax on Purchases (0%),Expenses incurred on any legal matters,No,Yes,No,
442,Legalization & Documentation Expenses,Expense,Tax on Purchases (0%),Legalization & Documentation Expenses,Yes,Yes,Yes,
445,Electricity & Water Expenses (Utilities),Expense,Tax on Purchases (0%),Electricity & Water Expenses (Utilities),Yes,Yes,Yes,
449,Motor Vehicle Expenses,Expense,Tax on Purchases (0%),Expenses incurred on the running of company motor vehicles,No,Yes,No,
453,Office Expenses,Expense,Tax on Purchases (0%),General expenses related to the running of the business office.,No,Yes,No,
461,Printing & Stationery Expenses,Expense,Tax on Purchases (0%),Printing & Stationery Expenses,Yes,Yes,Yes,
466,Movement in provision for leavepay,Expense,Tax on Purchases (0%),,No,No,No,
468,Brokerage Fees,Expense,Tax on Purchases (0%),,No,No,No,
469,Rent Expenses,Expense,Tax on Purchases (0%),Rent Expenses,Yes,Yes,Yes,
470,Solidarity,Expense,Tax on Purchases (0%),,Yes,No,No,
473,Repairs and Maintenance,Expense,Tax on Purchases (0%),Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,No,Yes,No,
477,Wages and Salaries - ADM,Expense,Tax Exempt (0%),Payment to employees in exchange for their resources,Yes,No,No,
478,Superannuation,Expense,Tax on Purchases (0%),,No,No,No,
479,Employee Allowances - ADM,Expense,Tax Exempt (0%),,Yes,No,No,
480,Deduction - ADM,Expense,Tax Exempt (0%),,Yes,No,No,
481,North Coast Security Expenses,Expense,Tax on Purchases (0%),North Coast Security Expenses,Yes,Yes,Yes,
482,Social Insurance Expense - ADM,Expense,Tax Exempt (0%),,Yes,No,No,
483,Indemnity Expense,Expense,Tax Exempt (0%),,No,No,No,
484,Employee Leave Expenses,Expense,Tax on Purchases (0%),Employee Leave Expenses,Yes,Yes,Yes,
486,North Coast Security Expenses (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),North Coast Security Expenses (Unsupported with Tax Invoice),Yes,Yes,Yes,
489,Telephone & Internet Expenses,Expense,Tax on Purchases (0%),Telephone & Internet Expenses,Yes,Yes,Yes,
490,Mobile Expenses,Expense,Tax on Purchases (0%),Mobile Expenses,Yes,Yes,Yes,
491,Travel National Expenses,Expense,Tax on Purchases (0%),Travel National Expenses,Yes,Yes,Yes,
492,Travel National Expenses (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),Travel National Expenses (Unsupported with Tax Invoice),Yes,Yes,Yes,
493,Transportation Expenses,Direct Costs,Tax on Purchases (0%),,Yes,Yes,Yes,
494,Travel International Expenses (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),Travel International Expenses (Unsupported with Tax Invoice),Yes,Yes,Yes,
495,Travel International Expenses,Expense,Tax on Purchases (0%),Travel International Expenses,Yes,Yes,Yes,
496,FX Gain/Loss Loan,Expense,Tax on Purchases (0%),,No,No,No,
497,Bank Revaluations,Bank Revaluations,Tax Exempt (0%),Bank account revaluations due for foreign exchange rate changes,No,No,No,
498,Unrealised Currency Gains,Unrealized Currency Gains,Tax Exempt (0%),Unrealised currency gains on outstanding items,No,No,No,
499,Realised Currency Gains,Realized Currency Gains,Tax Exempt (0%),Gains or losses made due to currency exchange rate changes,No,No,No,
505,Income Tax Expenses,Expense,Tax Exempt (0%),Income Tax Expenses,Yes,Yes,Yes,
506,Deferred Tax Expenses,Expense,Tax on Purchases (0%),,Yes,No,No,
507,Caravan Expenses,Expense,Tax on Purchases (0%),Caravan Expenses,Yes,Yes,Yes,
508,Scaffold Expenses,Expense,Tax on Purchases (0%),Scaffold Expenses,Yes,Yes,Yes,
509,North Cost Tools and Equipment's Expenses,Expense,Tax on Purchases (0%),North Cost Tools and Equipment's Expenses,Yes,Yes,Yes,
510,Laptop Expenses,Expense,Tax on Purchases (0%),Laptop Expenses,Yes,Yes,Yes,
511,General Write-off Expense,Expense,Tax on Purchases (0%),,No,No,No,
512,Staff Welfare,Expense,Tax on Purchases (0%),,No,No,No,
55555,Marrassi Inventory,Current Asset,Tax Exempt (0%),,No,No,Yes,
55556,Inventory - Grohe,Current Asset,Tax Exempt (0%),,No,No,Yes,
599,Accounts Receivable - B2B2C,Current Asset,Tax Exempt (0%),,No,No,No,
600,Head Office Safe,Bank,Tax Exempt (0%),,No,No,No,
601,Fawry,Bank,Tax Exempt (0%),,No,No,No,
602,Sahel Safe,Bank,Tax Exempt (0%),,No,No,No,
603,Aman Safe,Current Asset,Tax Exempt (0%),,Yes,Yes,Yes,
604,Accept Safe,Current Asset,Tax Exempt (0%),Collection Package for Pay mob,Yes,Yes,Yes,
605,CIB Time Deposit,Current Asset,Tax Exempt (0%),Account of wadee3a,Yes,No,No,
606,Marina Wadi Degla Safe,Current Asset,Tax Exempt (0%),collection project Marina wadi degla,Yes,No,Yes,
607,Fawry Cash Out - 607,Bank,Tax Exempt (0%),,No,No,No,
608,Petty Cash For Sahel,Current Asset,Tax Exempt (0%),Record All Expenses in North Coast,Yes,No,No,
610,Accounts Receivable,Accounts Receivable,Tax Exempt (0%),Outstanding invoices the company has issued out to the client but has not yet received in cash at balance date.,No,No,No,
611,Notes Receivable,Current Asset,Tax Exempt (0%),,No,No,No,
612,"Emaar Misr, Marassi Development (Sahel Safe)",Bank,Tax Exempt (0%),,No,No,No,
613,Accept / Paymob (Auto Settlement),Bank,Tax Exempt (0%),,No,No,No,
614,Marina El Alamein (Sahel Safe),Bank,Tax Exempt (0%),,No,No,No,
615,CIB EGP,Bank,Tax Exempt (0%),,No,No,No,
616,CIB USD,Bank,Tax Exempt (0%),,No,No,No,
617,Online Payments (Mohamed Sardi,Bank,Tax Exempt (0%),,No,No,No,
619,Bank Audi EGP,Bank,Tax Exempt (0%),,No,No,No,
620,Prepaid Expenses,Current Asset,Tax Exempt (0%),An expenditure that has been paid for in advance,Yes,Yes,Yes,
621,Deposits,Non-Current Asset,Tax Exempt (0%),,No,No,Yes,
622,Technicians Guarantee,Current Asset,Tax Exempt (0%),,No,No,Yes,
623,Refunds Clearing Account,Current Asset,Tax Exempt (0%),,No,No,Yes,
625,Accrued Income,Current Asset,Tax Exempt (0%),Accrued income is income which has been earned but not yet received.,Yes,No,No,
626,Telal North Coast (Sahel Safe),Bank,Tax Exempt (0%),,No,No,No,
627,WHT Receivable,Current Asset,Tax Exempt (0%),WHT deducted from our clients,Yes,No,Yes,
628,Related Parties - Filkhedma BVI,Non-Current Asset,Tax Exempt (0%),,No,No,No,
630,Inventory - Alumital,Inventory,Tax Exempt (0%),Value of tracked items for resale.,No,No,No,
631,Inventory - Carpentry,Inventory,Tax Exempt (0%),,No,No,No,
632,Inventory - Plumbing,Inventory,Tax Exempt (0%),,No,No,No,
633,Inventory - Electricity,Inventory,Tax Exempt (0%),,No,No,No,
634,Inventory - Satellite,Inventory,Tax Exempt (0%),,No,No,No,
635,Inventory - Air Condition,Inventory,Tax Exempt (0%),,No,No,No,
636,Inventory - Painting,Inventory,Tax Exempt (0%),,No,No,No,
637,Inventory - Kitchen,Inventory,Tax Exempt (0%),,No,No,No,
638,Tribal Credit Card USD - 6759,Bank,Tax Exempt (0%),,No,No,No,
639,Account Receivable 2022 Going Forward,Current Asset,Tax Exempt (0%),,No,No,Yes,
640,Emp. Loans,Current Asset,Tax Exempt (0%),,No,No,No,
641,Loan - FilKhedma BVI,Non-Current Asset,Tax Exempt (0%),,No,No,No,
642,Staff Advance - Ahmed Faisal,Current Asset,Tax Exempt (0%),,No,Yes,Yes,
643,Due From Partener,Current Asset,Tax Exempt (0%),this account to record any accroual revenue,No,No,No,
644,Petty-Cash,Current Asset,Tax Exempt (0%),,No,No,Yes,
645,Shareholder's Loan,Non-Current Asset,Tax Exempt (0%),,No,No,No,
646,Staff Advance - Ahmed Tanash,Current Asset,Tax Exempt (0%),,No,Yes,Yes,
660,Worker Balance Settlement,Bank,Tax Exempt (0%),,No,No,No,
666,Worker Settlement Account,Current Asset,Tax Exempt (0%),,No,No,Yes,
667,Inventory Allowance (Write-off),Current Asset,Tax Exempt (0%),,No,No,No,
668,Accept / Paymob Auto Settlement,Current Asset,Tax Exempt (0%),,No,No,Yes,
670,Receipt Control Account,Current Asset,Tax Exempt (0%),All payments received from technicians (filkhedma's take-rate) and revenue is booked according. Account needs to net to Xero every month.,No,No,Yes,
671,Customer Receipt Control Account,Current Asset,Tax Exempt (0%),all payments received from customers directly (take a portion to technicians disbursement and another tO REVENUE),No,No,Yes,
700,Marina Administration Commission Expense,Direct Costs,Tax on Purchases (0%),Marina Administration Commission Expense,Yes,Yes,Yes,
701,Training & Conferences Expenses,Expense,Tax on Purchases (0%),Training & Conferences Expenses,Yes,Yes,Yes,
702,Small assets written off in one year Expenses,Expense,Tax on Purchases (0%),Small assets written off in one year Expenses,Yes,Yes,Yes,
703,Intercompany Services,Expense,Tax on Purchases (0%),,No,No,No,
710,Office Equipment,Fixed Asset,Tax on Purchases (0%),Office equipment that is owned and controlled by the business,No,Yes,No,
711,Less Accumulated Depreciation on Office Equipment,Fixed Asset,Tax Exempt (0%),The total amount of office equipment cost that has been consumed by the entity (based on the useful life),No,No,No,
720,Computer Equipment,Fixed Asset,Tax on Purchases (0%),Computer equipment that is owned and controlled by the business,No,Yes,No,
721,Less Accumulated Depreciation on Computer Equipment,Fixed Asset,Tax Exempt (0%),The total amount of computer equipment cost that has been consumed by the business (based on the useful life),No,No,No,
730,Tools & Equipments,Fixed Asset,Tax on Purchases (0%),,No,No,No,
731,Less Accumulated Depreciation - Tools & Equipment,Fixed Asset,Tax on Purchases (0%),,No,No,No,
740,Lease Hold Improvement,Fixed Asset,VAT on Purchase (14%),,Yes,No,No,
741,Less Accumulated Depreciation on Lease Hold Improvement,Fixed Asset,Tax on Purchases (0%),,Yes,No,Yes,
750,Intangible Assets,Fixed Asset,Tax on Purchases (0%),using Application,Yes,No,No,
751,Less Accumulated Amortization on Intelligible Assets,Fixed Asset,Tax on Purchases (0%),,Yes,No,No,
800,Accounts Payable,Accounts Payable,Tax Exempt (0%),Outstanding invoices the company has received from suppliers but has not yet paid at balance date,No,No,No,
801,Unpaid Expense Claims,Unpaid Expense Claims,Tax Exempt (0%),Expense claims typically made by employees/shareholder employees still outstanding.,No,No,No,
803,Wages Payable,Wages Payable,Tax Exempt (0%),Xero automatically updates this account for payroll entries created using Payroll and will store the payroll amount to be paid to the employee for the pay run. This account enables you to maintain separate accounts for employee Wages Payable amounts and Accounts Payable amounts,Yes,No,No,
805,Emergency Fund,Current Liability,Tax Exempt (0%),,No,No,No,
810,Accrued Expenses,Current Liability,Tax Exempt (0%),,Yes,No,Yes,
811,Stock Impairment Provision,Liability,Tax Exempt (0%),,Yes,Yes,No,
812,Bad Debt Provision,Liability,Tax Exempt (0%),,No,No,No,
813,Impairment In Debtors,Liability,Tax Exempt (0%),,No,No,No,
814,Accrued Interest Expenses,Current Liability,Tax Exempt (0%),,No,No,No,
815,Customers Prepayments,Current Liability,Tax Exempt (0%),,No,No,Yes,
816,Other Payables,Current Liability,Tax Exempt (0%),,No,No,No,
817,Provisions,Current Liability,Tax Exempt (0%),,No,No,No,
817-1,Expected Credit Loss -ECL,Expense,Tax on Purchases (0%),,No,No,No,
818,Deferred Tax Liability,Current Liability,Tax Exempt (0%),,No,No,No,
819,Solidarity Contribution,Current Liability,Tax Exempt (0%),Accrued Expenses for Solidarity,Yes,No,No,
820,Sales Tax,Sales Tax,Tax Exempt (0%),"The balance in this account represents Sales Tax owing to or from your tax authority. At the end of the tax period, it is this account that should be used to code against either the 'refunds from' or 'payments to' your tax authority that will appear on the bank statement. Xero has been designed to use only one sales tax account to track sales taxes on income and expenses, so there is no need to add any new sales tax accounts to Xero.",Yes,No,No,
821,Insurance From Others,Current Liability,Tax Exempt (0%),,No,No,Yes,
822,Employee (B) Bonus Provision,Current Liability,Tax Exempt (0%),,No,No,No,
823,Social Insurance Adjustment Provision,Current Liability,Tax Exempt (0%),,No,No,No,
824,Employees Leaves Balance Provision,Current Liability,Tax Exempt (0%),,No,No,No,
825,Payroll Tax Payable,Current Liability,Tax Exempt (0%),The amount of tax that has been deducted from wages or salaries paid to employes and is due to be paid,Yes,No,Yes,
826,Social Insurance Payable,Current Liability,Tax Exempt (0%),The amount of superannuation that is due to be paid,Yes,No,Yes,
827,WHT Payable,Current Liability,Tax Exempt (0%),WHT deducted from Suppliers,Yes,No,Yes,
828,Social Insurance Payable - NC Techs,Current Liability,Tax Exempt (0%),,No,No,Yes,
829,Administrative Expenses it is service to Caller ID service Line subscription service calls for landlines,Liability,Tax Exempt (0%),Payroll Tax Payable - NC Techs,No,No,Yes,
830,Income Tax Payable,Current Liability,Tax Exempt (0%),"The amount of income tax that is due to be paid, also resident withholding tax paid on interest received.",No,No,No,
831,Emergency Fund - NC Techs,Current Liability,Tax Exempt (0%),,No,No,Yes,
832,Deferred Revenue,Current Liability,Tax Exempt (0%),,No,No,No,
840,Historical Adjustment,Historical Adjustment,Tax Exempt (0%),For accountant adjustments,No,No,No,
850,Suspense,Current Liability,Tax Exempt (0%),"An entry that allows an unknown transaction to be entered, so the accounts can still be worked on in balance and the entry can be dealt with later.",Yes,No,Yes,
851,CB ADJ,Current Liability,Tax Exempt (0%),,No,No,No,
852,CB ADJ AR,Current Liability,Tax Exempt (0%),,No,No,No,
853,CB ADJ AP,Current Liability,Tax Exempt (0%),,No,No,No,
860,Owner A Drawings,Current Liability,Tax Exempt (0%),Withdrawals by the owners,Yes,Yes,Yes,
861,Owner A Funds Introduced,Current Liability,Tax Exempt (0%),Funds contributed by the owner,Yes,Yes,Yes,
872,Social Insurance Payable - Techs,Current Liability,Tax Exempt (0%),,No,No,Yes,
877,Tracking Transfers,Tracking,Tax Exempt (0%),Transfers between tracking categories,No,No,No,
880,Wages Payable (2022 forward),Current Liability,Tax Exempt (0%),,Yes,Yes,Yes,
881,Wages Payable  - Money Fellows (2022 forward),Current Liability,Tax Exempt (0%),,Yes,Yes,Yes,
882,Deductions Clearing Account,Liability,Tax Exempt (0%),,No,No,No,
883,Wages Payable - Techs,Current Liability,Tax Exempt (0%),,No,No,Yes,
900,Loan,Non-current Liability,Tax Exempt (0%),Money that has been borrowed from a creditor,No,No,Yes,
901,Audi Loan - Short term,Current Liability,Tax Exempt (0%),"Record loan with Amount 500,000 ",No,No,No,
902,Due To Related Party (SweepSouth LTD),Current Liability,Tax Exempt (0%),Due To Related Party (SweepSouth LTD),Yes,Yes,Yes,
903,Audi Loan - long term,Non-current Liability,Tax Exempt (0%),,No,No,No,
904,Rounding,Rounding,Tax Exempt (0%),An adjustment entry to allow for rounding,Yes,Yes,No,
919,Martyrs' Families Fund Liability,Current Liability,Tax Exempt (0%),,No,No,No,
920,Technicians Disbursement Control Account,Current Liability,Tax Exempt (0%),,No,No,Yes,
930,Impairment In Cash& Banks,Non-current Liability,Tax Exempt (0%),Impairment In Cash& Banks,No,No,No,
960,Retained Earnings,Retained Earnings,Tax Exempt (0%),Do not Use,No,No,No,
961,Loss Carried Forward,Equity,Tax Exempt (0%),,No,No,No,
970,Owner A Share Capital,Equity,Tax Exempt (0%),The value of shares purchased by the shareholders,No,No,Yes,
975,Shift South (Pty),Equity,Tax Exempt (0%),,No,No,No,
980,Filkhedma BVI Share Capital,Equity,Tax Exempt (0%),,No,No,No,
